channel,watch_time_min,stream_time_min,peak_viewers,avg_viewers,followers,followers_gained,views_gained,partnered,mature,language,avg_to_peak_ratio,watch_per_follower,views_per_follower,follower_growth_rate,viewers_per_stream_hr,stickiness,avg_to_peak_ratio_scaled,watch_per_follower_scaled,views_per_follower_scaled,follower_growth_rate_scaled,viewers_per_stream_hr_scaled,stickiness_scaled,engagement_efficiency_score
NairoMK,335695215,106200,22074,3054,339545,69474,6132895,True,False,English,0.13835281326447404,988.6619299356491,18.062097807359848,0.20460910924914225,1.7254237288135594,1.0350268148838793,0.2791949724366955,0.1636733377029209,0.025433555321363342,0.1925406789342387,0.017374327073948585,0.22965011492262433,0.15131116439863188
철면수심 (109ace),335311860,145425,12180,2202,166726,35165,7631326,True,False,Korean,0.1807881773399015,2011.155188752804,45.771661288581264,0.21091491429051257,0.9085095410005157,1.0471105315201756,0.37532562378704154,0.3551680025055795,0.07163422828573351,0.19899881930747404,0.008876925084575977,0.24450397869850676,0.2090845962781519
UnknownxArmy,333869670,92250,41700,3735,850944,836664,11325781,True,False,English,0.08956834532374101,392.35210542644404,13.309666676067991,0.9832186371841155,2.4292682926829268,0.96899154340941,0.16868142362898436,0.05199519314965471,0.01750973809373704,0.9899598180216462,0.024695598128432233,0.14847650282890187,0.23355304564189275
s1mple,333097410,24615,34971,12723,1681884,740732,20277843,True,False,English,0.36381573303594406,198.0501687393423,12.056624000228316,0.4404180074250067,31.012797074954296,1.0636087183321092,0.7899458003183085,0.015605922202825369,0.015420516626350848,0.4340462370170731,0.32201658723744736,0.2647843135350106,0.30696989615616926
bysTaXx,331965075,48945,259210,6210,1093212,795296,10207313,True,False,Spanish,0.023957409050576754,303.6602918738543,9.33699319070775,0.7274856112080731,7.612626417407294,1.0921755810894906,0.020050154001264173,0.03538480578471444,0.010886025359477003,0.7280488060271146,0.07861200489151751,0.2999000234340577,0.1954803032496909
Sjow,331726155,149700,8140,2189,240206,21662,3365340,True,False,English,0.2689189189189189,1381.0069482027925,14.010224557255023,0.09018092803676844,0.8773547094188376,1.0123067972399802,0.5749719748097676,0.2371525289955599,0.01867779133944293,0.07534814727884696,0.008552857842495825,0.20172161765429059,0.18607081965340064
hardgamechannel,331308960,55125,27529,5711,786562,256678,10562872,True,False,Russian,0.20745395764466562,421.21150017417574,13.429166422990178,0.32632901157187866,6.216054421768708,1.0523795944572891,0.43573276027126845,0.057400040639815755,0.017708982254714838,0.3172010847443588,0.0640851012937099,0.2509809547357753,0.19051815398994051
scoped,330160515,63360,47343,5165,731808,728892,8279834,True,True,English,0.10909743784720022,451.15729125672306,11.314216297170843,0.9960153482880756,4.891098484848484,1.0088802931297487,0.21292151501183168,0.06300835069580243,0.014182686390647847,1.0,0.05030313571865052,0.1975096002085985,0.2563208813375885
VooDooSh,329448660,137670,7560,2519,85678,66129,9003037,True,True,Russian,0.3332010582010582,3845.1954994280914,105.07991549756063,0.7718317421041574,1.0978426672477664,0.9499926944413999,0.7205930635885016,0.698650887599233,0.1705199887436246,0.773466248599133,0.010846335957380791,0.125122238328714,0.41653312713609786
WELOVEGAMES,328935150,116520,27956,2761,413458,49713,23682775,True,False,Russian,0.0987623408212906,795.5708923276367,57.27975997562026,0.12023712202932342,1.42173017507724,1.022453114235316,0.18950897618917026,0.127510846454892,0.09082189626332196,0.10613043734579947,0.014215358548028911,0.214193940120289,0.12373024248691693
StereOnline,327697680,400770,4227,785,327645,91352,4620985,True,False,Portuguese,0.18571090607996216,1000.1607837751225,14.103633505776068,0.27881396023134797,0.11752376674900816,1.041618069928763,0.386477292460414,0.16582686697327714,0.018833533824722106,0.2685381671017374,0.0006492260288357283,0.23775239069551996,0.1796795795140844
keanelol,327242790,147255,7208,2176,162917,85035,4068823,True,False,English,0.3018867924528302,2008.647286655168,24.974821534892,0.5219528962600588,0.886625241927269,1.0212713427787332,0.6496555135398122,0.3546983173830583,0.03695926876124454,0.5175508417357875,0.008649288339792704,0.21274125194837518,0.2967090802846784
살인마협회장 (sal_gu),326488155,122925,16252,2663,164092,45255,6226900,True,False,Korean,0.16385675609155798,1989.6652792336006,37.94761475269971,0.2757904102576603,1.299816961561928,0.9973694152828045,0.3369701486225703,0.35114332754118915,0.0585890492988019,0.2654415743546639,0.012947238103421205,0.18335989638603878,0.20140853905111422
