channel,watch_time_min,stream_time_min,peak_viewers,avg_viewers,followers,followers_gained,views_gained,partnered,mature,language,avg_to_peak_ratio,watch_per_follower,views_per_follower,follower_growth_rate,viewers_per_stream_hr,stickiness,avg_to_peak_ratio_scaled,watch_per_follower_scaled,views_per_follower_scaled,follower_growth_rate_scaled,viewers_per_stream_hr_scaled,stickiness_scaled,engagement_efficiency_score,cluster
OgamingLoL,1483207890,496950,204491,3020,523758,115965,71583995,True,False,French,0.0147683761143522,2831.857250867767,136.67379782265854,0.2214095059168547,0.3646242076667673,0.9882854218680974,0.0,0.5088707921644201,0.2231970590975421,0.2097469387685174,0.0032195226518513,0.1721934312342683,0.1862046239860999,0
Myth,1479214575,134760,122552,9396,6726893,1421811,37384058,True,False,English,0.0766694953978719,219.895659853665,5.5574033955943705,0.2113622143239085,4.183437221727516,1.1682268050821725,0.1394611053387926,0.0196971912281351,0.0045842446698662,0.1994569251933477,0.0429421640098053,0.3933857079446681,0.1332545563974358,1
Evelone192,1474742220,83010,106900,16422,1075101,826433,47400543,True,False,Russian,0.1536202057998129,1371.724349619245,44.08938602047622,0.7687026614243685,11.8698951933502,1.0818315729994017,0.3137808519459372,0.2354140646204398,0.0688293392967589,0.7702615757402868,0.1228953882696872,0.2871846899243914,0.2997276516329169,1
nl_Kripp,1470897720,155895,29316,9256,1379123,96793,20034033,True,False,English,0.3157320234684131,1066.5457105711382,14.526647006829702,0.0701844578039812,3.5623977677282785,1.0193584855041302,0.6810197095264022,0.1782595741770958,0.0195388321393251,0.0548686032895678,0.0364822175789328,0.2103898792511445,0.1967598026604113,1
LEC,1470431925,45660,305119,28830,973727,551345,25924096,True,False,English,0.0944877244616035,1510.1069652993087,26.62357724495675,0.566221333084119,37.88436268068331,1.1170288081430726,0.1798255043047494,0.2613306487892433,0.0397082699647626,0.5628887133061641,0.393493440154573,0.3304507604429098,0.294616222827067,1
dota2mc_ru,1464683175,66675,182869,19495,428284,156721,38774178,True,False,Russian,0.106606368493293,3419.887679670499,90.53380000186792,0.3659277488769134,17.543307086614174,1.1268274781887195,0.2072783887003821,0.6189983542645425,0.1462669785735476,0.3577564464215748,0.1819092507139326,0.3424957391877498,0.3091175263102882,0
Fresh,1464179820,147660,57431,9728,3135667,1875187,25341820,True,False,English,0.1693858717417422,466.9436582392199,8.081795675369866,0.5980185395962008,3.952864689150752,1.019314004055369,0.3494954915864919,0.0659648543477307,0.0087932110879308,0.5954540751885149,0.0405437878691514,0.2103352005955338,0.2117644367792256,1
LCS,1461310140,31125,214124,46459,1162746,526244,28313058,True,False,English,0.2169724085109562,1256.7750308321852,24.35016590037721,0.4525872374534077,89.55951807228915,1.0105625040034003,0.4572953155022398,0.2138861170465984,0.0359177687497006,0.4465094507133414,0.9310095890677096,0.199577451674469,0.3806992821256765,1
ROSHTEIN,1435735725,118995,45843,11717,381918,242369,17836875,False,True,English,0.2555897301660013,3759.277449609602,46.703415392833016,0.6346100471829031,5.907979326862473,1.0297442217945438,0.5447767915067064,0.6825599764772147,0.0731877593142146,0.6329295586379488,0.0608805567241748,0.2231565069960107,0.369581858276045,0
ibai,1412913285,57795,173238,22837,1894953,1602088,44178173,True,False,Spanish,0.1318244265115044,745.6191710295717,23.31359827921853,0.8454499926911117,23.70827926291201,1.070498809531129,0.2644059377599941,0.1181557841659196,0.0341894801859684,0.8488629653075277,0.2460362393460471,0.2732539325399969,0.297484056550909,1
